price_lkr,log_price_lkr,norm_model,vram_gb,brand,G3Dmark,G2Dmark,log_G3Dmark,fp32_gflops,memory_bandwidth_gb_s,shader_units,gpu_base_clock_mhz,boost_clock_mhz,tdp_watts,perf_score,perf_per_watt,release_year,gpu_age_years,architecture,model_number,series_family,gpu_generation,ti_variant,bench_match,spec_match
22000.0,9.998797732340453,GeForce GTX 1050,2.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
24000.0,10.085809109330082,GeForce GTX 1050,3.0,GIGABYTE,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
22500.0,10.021270588192511,GeForce GTX 1050,3.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
22500.0,10.021270588192511,GeForce GTX 1050,3.0,ZOTAC,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
21500.0,9.975808214115753,GeForce GTX 1050,3.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
20000.0,9.903487552536127,GeForce GTX 1050,2.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
20500.0,9.9281801651265,GeForce GTX 1050,4.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
23500.0,10.06475570013225,GeForce GTX 1050,4.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
22500.0,10.021270588192511,GeForce GTX 1050,2.0,PALIT,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
25000.0,10.126631103850338,GeForce GTX 1050,3.0,GALAX,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
23000.0,10.043249494911286,GeForce GTX 1050,4.0,GIGABYTE,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
25000.0,10.126631103850338,GeForce GTX 1050,2.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
22000.0,9.998797732340453,GeForce GTX 1050,2.0,GALAX,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
24000.0,10.085809109330082,GeForce GTX 1050,2.0,GALAX,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
20500.0,9.9281801651265,GeForce GTX 1050,2.0,GALAX,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
21500.0,9.975808214115753,GeForce GTX 1050,2.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
19000.0,9.852194258148577,GeForce GTX 1050,4.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
20500.0,9.9281801651265,GeForce GTX 1050,2.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
25000.0,10.126631103850338,GeForce GTX 1050,3.0,PALIT,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
22500.0,10.021270588192511,GeForce GTX 1050,3.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
25000.0,10.126631103850338,GeForce GTX 1050,2.0,GIGABYTE,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
21000.0,9.95227771670556,GeForce GTX 1050,3.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
