Brand,Vehicle_Type,Title,Fuel Type,Gear,Price,Year,Location,Mileage,Listing_URL
Nissan,Car,Nissan ROOX TURBO G Highway Star 2024 Car,Petrol,Automatic,"Rs. 9,350,000",2024,Boralesgamuwa,"4,000 km",https://riyasewana.com/buy/nissan-roox-turbo-sale-boralesgamuwa-12060914
Nissan,Car,Nissan Roox Highway Star Pro Pilot 360 Cam 2025 Car,Petrol,Automatic,"Rs. 9,550,000",2025,Kadawatha,"5,000 km",https://riyasewana.com/buy/nissan-roox-highway-sale-kadawatha-12068960
Toyota,Car,Toyota Axio 2017 Car,Petrol,Automatic,Negotiable,2017,Colombo,"177,000 km",https://riyasewana.com/buy/toyota-axio-sale-colombo-12098440
Nissan,Car,Nissan Roox Highway Star 2024 Car,Petrol,Automatic,"Rs. 8,750,000",2024,Kiribathgoda,"13,703 km",https://riyasewana.com/buy/nissan-roox-highway-sale-kiribathgoda-12113169
Honda,Car,Honda Civic EX Turbo 2017 Car,Petrol,Automatic,"Rs. 11,800,000",2017,Nugegoda,"101,000 km",https://riyasewana.com/buy/honda-civic-ex-sale-nugegoda-12116736
Honda,Car,Honda Civic ES8 2004 Car,Petrol,Automatic,"Rs. 5,700,000",2004,Homagama,"175,000 km",https://riyasewana.com/buy/honda-civic-es8-sale-homagama-12124703
Suzuki,Car,Suzuki Alto Japan 2023 Car,Petrol,Automatic,Negotiable,2023,Kadawatha,"69,552 km",https://riyasewana.com/buy/suzuki-alto-japan-sale-kadawatha-12124694
Suzuki,Car,Suzuki Alto 2018 Car,Petrol,Automatic,"Rs. 5,400,000",2018,Kalutara,"132,000 km",https://riyasewana.com/buy/suzuki-alto-sale-kalutara-12124686
Nissan,Car,Nissan FB15 2000 Car,Petrol,Automatic,"Rs. 4,250,000",2000,Gampaha,"185,000 km",https://riyasewana.com/buy/nissan-fb15-sale-gampaha-12124685
Toyota,Car,Toyota Yaris 2024 Car,Petrol,Automatic,"Rs. 10,300,000",2024,Galle,"25,500 km",https://riyasewana.com/buy/toyota-yaris-sale-galle-12124631
Nissan,Car,Nissan Super Saloon FB15 Splend 2000 Car,Petrol,Automatic,"Rs. 4,325,000",2000,Kurunegala,"165,847 km",https://riyasewana.com/buy/nissan-super-saloon-sale-kurunegala-12124670
Toyota,Car,Toyota Corolla 141 2012 Car,Petrol,Automatic,"Rs. 8,500,000",2012,Colombo,"181,000 km",https://riyasewana.com/buy/toyota-corolla-141-sale-colombo-12124653
Nissan,Car,Nissan FB15 Ex Saloon 2000 Car,Petrol,Automatic,Negotiable,2000,Bandaragama,230 km,https://riyasewana.com/buy/nissan-fb15-ex-sale-bandaragama-12124652
Suzuki,Car,Suzuki Spacia 2017 Car,Petrol,Automatic,"Rs. 5,750,000",2017,Panadura,"135,000 km",https://riyasewana.com/buy/suzuki-spacia-sale-panadura-12124650
Perodua,Car,Perodua Viva Elite 2012 Car,Petrol,Automatic,"Rs. 4,650,000",2012,Vavuniya,1 km,https://riyasewana.com/buy/perodua-viva-elite-sale-vavuniya-12124644
Nissan,Car,Nissan TIIDA 2007 Car,Petrol,Automatic,"Rs. 5,650,000",2007,Mawanella,"154,000 km",https://riyasewana.com/buy/nissan-tiida-sale-mawanella-12124640
Hyundai,Car,Hyundai Getz 2003 Car,Petrol,Automatic,Negotiable,2003,Malabe,"80,000 km",https://riyasewana.com/buy/hyundai-getz-sale-malabe-12124635
Toyota,Car,Toyota Axio 2018 Car,Petrol,Automatic,"Rs. 12,800,000",2018,Colombo,"105,000 km",https://riyasewana.com/buy/toyota-axio-sale-colombo-12124634
Toyota,Car,Toyota Belta 2007 Car,Petrol,Automatic,"Rs. 5,800,000",2007,Colombo,"145,000 km",https://riyasewana.com/buy/toyota-belta-sale-colombo-12124618
Nissan,Car,Nissan Wingroad WFY11 2000 Car,Petrol,Automatic,"Rs. 3,950,000",2000,Kandana,"260,000 km",https://riyasewana.com/buy/nissan-wingroad-wfy11-sale-kandana-12124616
Perodua,Car,Perodua Viva Elite 2012 Car,Petrol,Automatic,"Rs. 4,525,000",2012,Malabe,"137,000 km",https://riyasewana.com/buy/perodua-viva-elite-sale-malabe-12124609
Mercedes-Benz,Car,Mercedes-Benz W211 2004 Car,Petrol,Automatic,"Rs. 7,500,000",2004,Matara,"141,000 km",https://riyasewana.com/buy/mercedes-benz-w211-sale-matara-12124602
Toyota,Car,Toyota Vitz 2017 Car,Petrol,Automatic,"Rs. 8,100,000",2017,Nuwara-Eliya,"96,875 km",https://riyasewana.com/buy/toyota-vitz-sale-nuwara-eliya-12124596
Hyundai,Car,Hyundai Matrix 2004 Car,Petrol,Automatic,"Rs. 975,000",2004,Negombo,"195,000 km",https://riyasewana.com/buy/hyundai-matrix-sale-negombo-12124593
Toyota,Car,Toyota Corolla 141 2007 Car,Petrol,Automatic,Negotiable,2007,Anuradapura,,https://riyasewana.com/buy/toyota-corolla-141-sale-anuradapura-12124582
Honda,Car,Honda Civic 2018 Car,Petrol,Automatic,"Rs. 12,500,000",2018,Kandy,"95,000 km",https://riyasewana.com/buy/honda-civic-sale-kandy-12124575
Suzuki,Car,Suzuki Wagon R Stingray 2018 Car,Petrol,Automatic,"Rs. 7,525,000",2018,Kalmunai,"51,265 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-kalmunai-12124573
Toyota,Car,Toyota Allion G Plus 2017 Car,Petrol,Automatic,"Rs. 13,450,000",2017,Ragama,"120,000 km",https://riyasewana.com/buy/toyota-allion-g-sale-ragama-12124571
Nissan,Car,Nissan FB15 2001 Car,Petrol,Automatic,Negotiable,2001,Kandy,"144,000 km",https://riyasewana.com/buy/nissan-fb15-sale-kandy-12124556
Daihatsu,Car,Daihatsu Mira S Grade 2025 Car,Petrol,Automatic,"Rs. 6,900,000",2025,Wattala,10 km,https://riyasewana.com/buy/daihatsu-mira-s-sale-wattala-12124551
Toyota,Car,Toyota Vios 2006 Car,Petrol,Automatic,"Rs. 5,300,000",2006,Kalutara,"245,000 km",https://riyasewana.com/buy/toyota-vios-sale-kalutara-12124550
Toyota,Car,Toyota Vios Japan 2004 Car,Petrol,Automatic,"Rs. 5,300,000",2004,Embilipitiya,"167,000 km",https://riyasewana.com/buy/toyota-vios-japan-sale-embilipitiya-12124544
Daihatsu,Car,Daihatsu Mira S Grade 2025 Car,Petrol,Automatic,"Rs. 6,900,000",2025,Wattala,7 km,https://riyasewana.com/buy/daihatsu-mira-s-sale-wattala-12124534
Toyota,Car,Toyota Starlet 1997 Car,Petrol,Automatic,"Rs. 4,475,000",1997,Homagama,"209,500 km",https://riyasewana.com/buy/toyota-starlet-sale-homagama-12124531
Toyota,Car,Toyota Corolla Wxb 2023 Car,Petrol,Automatic,"Rs. 16,100,000",2023,Kaduwela,"25,000 km",https://riyasewana.com/buy/toyota-corolla-wxb-sale-kaduwela-12124524
Toyota,Car,Toyota Roomy Custom G 2023 Car,Petrol,Automatic,"Rs. 9,950,000",2023,Kurunegala,"35,000 km",https://riyasewana.com/buy/toyota-roomy-custom-sale-kurunegala-12018233
Toyota,Car,Toyota Carina 1999 Car,Petrol,Automatic,Negotiable,1999,Minuwangoda,"208,000 km",https://riyasewana.com/buy/toyota-carina-sale-minuwangoda-12124511
Toyota,Car,Toyota Corolla Wagon 2000 Car,Petrol,Automatic,"Rs. 3,675,000",2000,Kandy,"316,000 km",https://riyasewana.com/buy/toyota-corolla-wagon-sale-kandy-12124499
Suzuki,Car,Suzuki Swift 2017 Car,Petrol,Automatic,"Rs. 7,775,000",2017,Kalutara,"120,000 km",https://riyasewana.com/buy/suzuki-swift-sale-kalutara-12124464
Suzuki,Car,Suzuki Wagon R Fx Safety 2017 Car,Petrol,Automatic,"Rs. 6,490,000",2017,Kandy,"92,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-12124445
Nissan,Car,Nissan FB15 2002 Car,Petrol,Automatic,"Rs. 4,475,000",2002,Kalutara,"128,729 km",https://riyasewana.com/buy/nissan-fb15-sale-kalutara-12124441
Chevrolet,Car,Chevrolet Cruze GM 2003 Car,Petrol,Automatic,"Rs. 4,370,000",2003,Kandy,"131,000 km",https://riyasewana.com/buy/chevrolet-cruze-gm-sale-kandy-12124440
Toyota,Car,Toyota Roomy 2023 Car,Petrol,Automatic,"Rs. 8,275,000",2023,Kurunegala,"24,500 km",https://riyasewana.com/buy/toyota-roomy-sale-kurunegala-11886913
Toyota,Car,Toyota Corolla 2023 Car,Petrol,Automatic,"Rs. 15,650,000",2023,Negombo,"28,000 km",https://riyasewana.com/buy/toyota-corolla-sale-negombo-12124437
Toyota,Car,Toyota Corolla 1990 Car,Petrol,Automatic,"Rs. 1,880,000",1990,Negombo,150 km,https://riyasewana.com/buy/toyota-corolla-sale-negombo-12124230
Kia,Car,Kia Rio 2015 Car,Petrol,Automatic,"Rs. 7,950,000",2015,Gampaha,"45,000 km",https://riyasewana.com/buy/kia-rio-sale-gampaha-12098590
Toyota,Car,Toyota Yaris Black Edition 360 Cam 2026 Car,Petrol,Automatic,"Rs. 10,650,000",2026,Kadawatha,1 km,https://riyasewana.com/buy/toyota-yaris-black-sale-kadawatha-12103957
Micro,Car,Micro Panda Cross 2011 Car,Petrol,Automatic,"Rs. 3,000,000",2011,Battaramulla,"165,000 km",https://riyasewana.com/buy/micro-panda-cross-sale-battaramulla-12092539
Mazda,Car,Mazda Familia 2004 Car,Petrol,Automatic,"Rs. 3,800,000",2004,Anuradapura,"27,500 km",https://riyasewana.com/buy/mazda-familia-sale-anuradapura-12124428
Toyota,Car,Toyota Ractis 2007 Car,Petrol,Automatic,"Rs. 4,890,000",2007,Boralesgamuwa,"173,000 km",https://riyasewana.com/buy/toyota-ractis-sale-boralesgamuwa-12124425
Suzuki,Car,Suzuki Spacia 2024 Car,Petrol,Automatic,"Rs. 7,550,000",2024,Kurunegala,"17,500 km",https://riyasewana.com/buy/suzuki-spacia-sale-kurunegala-12059998
Suzuki,Car,Suzuki A-Star 2011 Car,Petrol,Automatic,"Rs. 3,990,000",2011,Katunayake,"211,000 km",https://riyasewana.com/buy/suzuki-a-star-sale-katunayake-12124415
Suzuki,Car,Suzuki Wagon R Stingray 2016 Car,Petrol,Automatic,"Rs. 5,875,000",2016,Anuradapura,"155,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-anuradapura-12124404
Toyota,Car,Toyota Vitz 2006 Car,Petrol,Automatic,"Rs. 5,500,000",2006,Hendala,"78,496 km",https://riyasewana.com/buy/toyota-vitz-sale-hendala-12088961
Toyota,Car,Toyota Yaris G 2026 Car,Petrol,Automatic,"Rs. 10,975,000",2026,Wattala,7 km,https://riyasewana.com/buy/toyota-yaris-g-sale-wattala-12037336
Toyota,Car,Toyota Vios 121 2005 Car,Petrol,Automatic,"Rs. 5,375,000",2005,Tangalle,2 km,https://riyasewana.com/buy/toyota-vios-121-sale-tangalle-12124373
Nissan,Car,Nissan March K11 1994 Car,Petrol,Automatic,"Rs. 2,700,000",1994,Kurunegala,"32,601 km",https://riyasewana.com/buy/nissan-march-k11-sale-kurunegala-12100799
Suzuki,Car,Suzuki A-Star 2011 Car,Petrol,Automatic,"Rs. 4,300,000",2011,Kiribathgoda,"127,000 km",https://riyasewana.com/buy/suzuki-a-star-sale-kiribathgoda-12124359
Toyota,Car,Toyota Vitz 2015 Car,Petrol,Automatic,"Rs. 7,300,000",2015,Badulla,"93,000 km",https://riyasewana.com/buy/toyota-vitz-sale-badulla-12124334
Toyota,Car,Toyota Starlet EP82 1994 Car,Petrol,Automatic,"Rs. 3,450,000",1994,Ja-Ela,1 km,https://riyasewana.com/buy/toyota-starlet-ep82-sale-ja-ela-12124315
Honda,Car,Honda Insight 2011 Car,Petrol,Automatic,Negotiable,2011,Ja-Ela,"160,000 km",https://riyasewana.com/buy/honda-insight-sale-ja-ela-12124307
Toyota,Car,Toyota Corolla 121 G Grade 2002 Car,Petrol,Automatic,Negotiable,2002,Kandy,"184,000 km",https://riyasewana.com/buy/toyota-corolla-121-sale-kandy-12103156
Nissan,Car,Nissan FB15 Ex Saloon 2003 Car,Petrol,Automatic,"Rs. 5,025,000",2003,Kuliyapitiya,"177,500 km",https://riyasewana.com/buy/nissan-fb15-ex-sale-kuliyapitiya-12124298
Toyota,Car,Toyota Belta 2008 Car,Petrol,Automatic,Negotiable,2008,Gampaha,"138,000 km",https://riyasewana.com/buy/toyota-belta-sale-gampaha-12077670
Honda,Car,Honda City Rs 2025 Car,Petrol,Automatic,Negotiable,2025,Horana,"4,500 km",https://riyasewana.com/buy/honda-city-rs-sale-horana-12124268
Suzuki,Car,Suzuki Wagon R Stingray 2018 Car,Petrol,Automatic,"Rs. 7,500,000",2018,Mannar,"118,500 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-mannar-12124233
Mercedes-Benz,Car,Mercedes-Benz W220 S-Class 2003 Car,Petrol,Automatic,"Rs. 8,600,000",2003,Wennappuwa,"90,000 km",https://riyasewana.com/buy/mercedes-benz-w220-s-class-sale-wennappuwa-12124231
Toyota,Car,Toyota Passo 2023 Car,Petrol,Automatic,"Rs. 8,500,000",2023,Kadawatha,"10,000 km",https://riyasewana.com/buy/toyota-passo-sale-kadawatha-12124223
Micro,Car,Micro Panda 2017 Car,Petrol,Automatic,"Rs. 3,975,000",2017,Anuradapura,"53,000 km",https://riyasewana.com/buy/micro-panda-sale-anuradapura-12124208
Toyota,Car,Toyota Passo 2004 Car,Petrol,Automatic,"Rs. 4,490,000",2004,Polgahawela,"220,000 km",https://riyasewana.com/buy/toyota-passo-sale-polgahawela-12124206
Suzuki,Car,Suzuki Alto 2015 Car,Petrol,Automatic,"Rs. 4,200,000",2015,Matugama,"85,531 km",https://riyasewana.com/buy/suzuki-alto-sale-matugama-12124205
Honda,Car,Honda Airwave 2009 Car,Petrol,Automatic,"Rs. 6,250,000",2009,Wennappuwa,"120,000 km",https://riyasewana.com/buy/honda-airwave-sale-wennappuwa-12124198
Toyota,Car,Toyota Vitz Safety 2017 Car,Petrol,Automatic,"Rs. 8,350,000",2017,Matugama,"89,531 km",https://riyasewana.com/buy/toyota-vitz-safety-sale-matugama-12124192
Daihatsu,Car,Daihatsu Mira 2025 Car,Petrol,Automatic,"Rs. 6,850,000",2025,Galle,"11,000 km",https://riyasewana.com/buy/daihatsu-mira-sale-galle-12124133
Mercedes-Benz,Car,Mercedes-Benz W210 1997 Car,Petrol,Automatic,"Rs. 4,975,000",1997,Negombo,"115,000 km",https://riyasewana.com/buy/mercedes-benz-w210-sale-negombo-12124176
Toyota,Car,Toyota Axio 2010 Car,Petrol,Automatic,"Rs. 7,775,000",2010,Kandy,"184,000 km",https://riyasewana.com/buy/toyota-axio-sale-kandy-12124165
Toyota,Car,Toyota Vitz Amie Special Grade 2018 Car,Petrol,Automatic,Negotiable,2018,Kottawa,"73,000 km",https://riyasewana.com/buy/toyota-vitz-amie-sale-kottawa-12124163
Toyota,Car,Toyota Vios 2004 Car,Petrol,Automatic,"Rs. 5,075,000",2004,Panadura,"212,000 km",https://riyasewana.com/buy/toyota-vios-sale-panadura-12124162
Toyota,Car,Toyota PREMIO G SUPERIOR 2018 Car,Petrol,Automatic,Negotiable,2018,Colombo,"88,900 km",https://riyasewana.com/buy/toyota-premio-g-sale-colombo-12124146
Toyota,Car,Toyota Corsa 1997 Car,Petrol,Automatic,"Rs. 3,000,000",1997,Kalutara,"175,000 km",https://riyasewana.com/buy/toyota-corsa-sale-kalutara-12124142
Toyota,Car,Toyota AXIO 2009 Car,Petrol,Automatic,"Rs. 7,675,000",2009,Matugama,"13,200 km",https://riyasewana.com/buy/toyota-axio-sale-matugama-12124115
Suzuki,Car,Suzuki Wagon R FX 2017 Car,Petrol,Automatic,"Rs. 6,250,000",2017,Chilaw,,https://riyasewana.com/buy/suzuki-wagon-r-sale-chilaw-12124105
Perodua,Car,Perodua Kelisa 2007 Car,Petrol,Automatic,"Rs. 3,250,000",2007,Bandarawela,1 km,https://riyasewana.com/buy/perodua-kelisa-sale-bandarawela-12124095
Toyota,Car,Toyota Premio 2018 Car,Petrol,Automatic,"Rs. 15,800,000",2018,Marawila,"99,000 km",https://riyasewana.com/buy/toyota-premio-sale-marawila-12124056
Mazda,Car,Mazda Butterfly 2000 Car,Petrol,Automatic,"Rs. 3,390,000",2000,Weligama,,https://riyasewana.com/buy/mazda-butterfly-sale-weligama-12124047
Perodua,Car,Perodua Axia G Grade 2017 Car,Petrol,Automatic,Negotiable,2017,Nugegoda,"63,800 km",https://riyasewana.com/buy/perodua-axia-g-sale-nugegoda-12124044
Suzuki,Car,Suzuki Swift 2004 Car,Petrol,Automatic,Negotiable,2004,Anuradapura,"135,000 km",https://riyasewana.com/buy/suzuki-swift-sale-anuradapura-12124034
Toyota,Car,Toyota Corona Premio E Type 1999 Car,Petrol,Automatic,Negotiable,1999,Kandy,"235,000 km",https://riyasewana.com/buy/toyota-corona-premio-sale-kandy-12124033
Toyota,Car,Toyota Aqua 2013 Car,Petrol,Automatic,"Rs. 7,590,000",2013,Boralesgamuwa,"144,000 km",https://riyasewana.com/buy/toyota-aqua-sale-boralesgamuwa-12122133
Mercedes-Benz,Car,Mercedes-Benz C180 2020 Car,Petrol,Automatic,"Rs. 27,500,000",2020,Colombo,"60,000 km",https://riyasewana.com/buy/mercedes-benz-c180-sale-colombo-12114618
Toyota,Car,Toyota Axio 2007 Car,Petrol,Automatic,"Rs. 7,200,000",2007,Anuradapura,"-257,000 km",https://riyasewana.com/buy/toyota-axio-sale-anuradapura-12117000
Perodua,Car,Perodua Viva Elite 2014 Car,Petrol,Automatic,"Rs. 4,975,000",2014,Ampara,"133,000 km",https://riyasewana.com/buy/perodua-viva-elite-sale-ampara-12124015
Perodua,Car,Perodua Viva Elite Premium 2011 Car,Petrol,Automatic,"Rs. 4,675,000",2011,Matara,"103,500 km",https://riyasewana.com/buy/perodua-viva-elite-sale-matara-12124014
Nissan,Car,Nissan FB15 KD 2006 Car,Petrol,Automatic,Negotiable,2006,Panadura,233 km,https://riyasewana.com/buy/nissan-fb15-kd-sale-panadura-12124009
Toyota,Car,Toyota Allion 260 2007 Car,Petrol,Automatic,"Rs. 8,590,000",2007,Weligama,"275,000 km",https://riyasewana.com/buy/toyota-allion-260-sale-weligama-12124008
Toyota,Car,Toyota Pixis Joy Style Fashion Edition 2019 Car,Petrol,Automatic,Negotiable,2019,Panadura,"65,000 km",https://riyasewana.com/buy/toyota-pixis-joy-sale-panadura-12124001
Nissan,Car,Nissan FB15 2004 Car,Petrol,Automatic,"Rs. 4,350,000",2004,Ja-Ela,"245,000 km",https://riyasewana.com/buy/nissan-fb15-sale-ja-ela-12123992
Perodua,Car,Perodua Viva Elite 2010 Car,Petrol,Automatic,"Rs. 4,475,000",2010,Galle,"108,000 km",https://riyasewana.com/buy/perodua-viva-elite-sale-galle-12123980
Hyundai,Car,Hyundai Matrix GLS 2002 Car,Petrol,Automatic,"Rs. 2,950,000",2002,Colombo,"110,000 km",https://riyasewana.com/buy/hyundai-matrix-gls-sale-colombo-12123977
Nissan,Car,Nissan March AK12 2005 Car,Petrol,Automatic,"Rs. 3,590,000",2005,Kadawatha,1 km,https://riyasewana.com/buy/nissan-march-ak12-sale-kadawatha-12123948
Toyota,Car,Toyota Yaris 2008 Car,Petrol,Automatic,"Rs. 6,300,000",2008,Piliyandala,"190,000 km",https://riyasewana.com/buy/toyota-yaris-sale-piliyandala-12123942
Hyundai,Car,Hyundai Elantra 2010 Car,Petrol,Automatic,"Rs. 4,750,000",2010,Colombo,1 km,https://riyasewana.com/buy/hyundai-elantra-sale-colombo-12123937
Honda,Car,Honda Insight 2009 Car,Petrol,Automatic,"Rs. 6,600,000",2009,Kandy,"190,000 km",https://riyasewana.com/buy/honda-insight-sale-kandy-12123935
Toyota,Car,Toyota Yaris G Grade 2025 Car,Petrol,Automatic,"Rs. 10,600,000",2025,Gampaha,875 km,https://riyasewana.com/buy/toyota-yaris-g-sale-gampaha-12123926
Ford,Car,Ford Festiva 1995 Car,Petrol,Automatic,"Rs. 2,350,000",1995,Moratuwa,"15,000 km",https://riyasewana.com/buy/ford-festiva-sale-moratuwa-12123922
Toyota,Car,Toyota Vios S 2004 Car,Petrol,Automatic,"Rs. 5,200,000",2004,Polonnaruwa,"410,000 km",https://riyasewana.com/buy/toyota-vios-s-sale-polonnaruwa-12123921
Perodua,Car,Perodua Viva Elite 2010 Car,Petrol,Automatic,"Rs. 4,570,000",2010,Kottawa,"139,100 km",https://riyasewana.com/buy/perodua-viva-elite-sale-kottawa-12123906
Toyota,Car,Toyota Corolla AE110 1997 Car,Petrol,Automatic,"Rs. 3,475,000",1997,Kuliyapitiya,"190,000 km",https://riyasewana.com/buy/toyota-corolla-ae110-sale-kuliyapitiya-12123901
Suzuki,Car,Suzuki Wagon R Fz Premium 2018 Car,Petrol,Automatic,"Rs. 6,750,000",2018,Tangalle,"92,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-tangalle-12123880
Daihatsu,Car,Daihatsu TAFT G CHROME VENTURE TURBO 2025 Car,Petrol,Automatic,"Rs. 8,195,000",2025,Kurunegala,895 km,https://riyasewana.com/buy/daihatsu-taft-g-sale-kurunegala-12123861
Toyota,Car,Toyota Roomy 2024 Car,Petrol,Automatic,"Rs. 10,550,000",2024,Gampaha,"25,000 km",https://riyasewana.com/buy/toyota-roomy-sale-gampaha-12064048
Suzuki,Car,Suzuki Wagon R FX 2024 Car,Petrol,Automatic,Negotiable,2024,Matale,"15,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-matale-12123859
Toyota,Car,Toyota Allion 2010 Car,Petrol,Automatic,"Rs. 9,150,000",2010,Boralesgamuwa,"146,000 km",https://riyasewana.com/buy/toyota-allion-sale-boralesgamuwa-12123834
Toyota,Car,Toyota Roomy 2018 Car,Petrol,Automatic,"Rs. 8,500,000",2018,Anuradapura,"100,000 km",https://riyasewana.com/buy/toyota-roomy-sale-anuradapura-12123830
Daihatsu,Car,Daihatsu Mira L Grade 2024 Car,Petrol,Automatic,Negotiable,2024,Nittambuwa,"1,600 km",https://riyasewana.com/buy/daihatsu-mira-l-sale-nittambuwa-12046039
Toyota,Car,Toyota Corsa EL51 1999 Car,Petrol,Automatic,"Rs. 3,375,000",1999,Dompe,"261,500 km",https://riyasewana.com/buy/toyota-corsa-el51-sale-dompe-12116826
Toyota,Car,Toyota Vitz SCP90 2007 Car,Petrol,Automatic,"Rs. 5,690,000",2007,Minuwangoda,"168,000 km",https://riyasewana.com/buy/toyota-vitz-scp90-sale-minuwangoda-12123827
Kia,Car,Kia Picanto 2017 Car,Petrol,Automatic,"Rs. 6,300,000",2017,Dehiwala-Mt,"115,000 km",https://riyasewana.com/buy/kia-picanto-sale-dehiwala-mount-lavinia-12123811
Daihatsu,Car,Daihatsu Mira X Grade 2024 Car,Petrol,Automatic,Negotiable,2024,Nittambuwa,"12,000 km",https://riyasewana.com/buy/daihatsu-mira-x-sale-nittambuwa-12045992
Toyota,Car,Toyota Prius 2014 Car,Petrol,Automatic,Negotiable,2014,Mirigama,"164,490 km",https://riyasewana.com/buy/toyota-prius-sale-mirigama-12106752
Toyota,Car,Toyota Allion 2002 Car,Petrol,Automatic,"Rs. 6,250,000",2002,Ampara,"270,000 km",https://riyasewana.com/buy/toyota-allion-sale-ampara-12106192
Toyota,Car,Toyota Allion 2012 Car,Petrol,Automatic,"Rs. 10,900,000",2012,Beruwala,"139,000 km",https://riyasewana.com/buy/toyota-allion-sale-beruwala-12123798
Daihatsu,Car,Daihatsu Mira L Grade 2026 Car,Petrol,Automatic,Negotiable,2026,Nittambuwa,1 km,https://riyasewana.com/buy/daihatsu-mira-l-sale-nittambuwa-12046100
Suzuki,Car,Suzuki Alto Japan 2003 Car,Petrol,Automatic,"Rs. 2,975,000",2003,Kurunegala,"156,000 km",https://riyasewana.com/buy/suzuki-alto-japan-sale-kurunegala-12123775
Daihatsu,Car,Daihatsu Mira X Limited Safety 2017 Car,Petrol,Automatic,"Rs. 6,000,000",2017,Colombo,"102,000 km",https://riyasewana.com/buy/daihatsu-mira-x-sale-colombo-12123755
Toyota,Car,Toyota Aqua S Limited 2014 Car,Petrol,Automatic,"Rs. 7,400,000",2014,Kelaniya,"115,370 km",https://riyasewana.com/buy/toyota-aqua-s-sale-kelaniya-12123735
BMW,Car,BMW 318i 2019 Car,Petrol,Automatic,"Rs. 20,500,000",2019,Kesbewa,"55,000 km",https://riyasewana.com/buy/bmw-318i-sale-kesbewa-12123728
Suzuki,Car,Suzuki Sx4 2009 Car,Petrol,Automatic,"Rs. 5,250,000",2009,Ragama,"150,000 km",https://riyasewana.com/buy/suzuki-sx4-sale-ragama-12123720
Daihatsu,Car,Daihatsu Mira L Safety 2025 Car,Petrol,Automatic,"Rs. 6,875,000",2025,Veyangoda,"4,000 km",https://riyasewana.com/buy/daihatsu-mira-l-sale-veyangoda-12088228
Toyota,Car,Toyota Vitz 2007 Car,Petrol,Automatic,"Rs. 6,000,000",2007,Kegalle,,https://riyasewana.com/buy/toyota-vitz-sale-kegalle-12123717
Suzuki,Car,Suzuki Celerio Vxi AMT 2014 Car,Petrol,Automatic,"Rs. 5,200,000",2014,Galle,"140,000 km",https://riyasewana.com/buy/suzuki-celerio-vxi-sale-galle-12123699
Suzuki,Car,Suzuki Wagon R Custom ZX 360 Cam 2026 Car,Petrol,Automatic,"Rs. 9,500,000",2026,Colombo,260 km,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-12016470
Toyota,Car,Toyota Roomy Custome G 2024 Car,Petrol,Automatic,"Rs. 11,600,000",2024,Kesbewa,"1,000 km",https://riyasewana.com/buy/toyota-roomy-custome-sale-kesbewa-12109774
Daihatsu,Car,Daihatsu Mira 1997 Car,Petrol,Automatic,"Rs. 2,800,000",1997,Kadawatha,"87,000 km",https://riyasewana.com/buy/daihatsu-mira-sale-kadawatha-12119666
Nissan,Car,Nissan FB15 Sunny 2019 Car,Petrol,Automatic,"Rs. 5,990,000",2019,Kottawa,"82,000 km",https://riyasewana.com/buy/nissan-fb15-sunny-sale-kottawa-12086223
Nissan,Car,Nissan N16 Sunny Super Saloon 2000 Car,Petrol,Automatic,"Rs. 4,200,000",2000,Avissawella,"170,000 km",https://riyasewana.com/buy/nissan-n16-sunny-sale-avissawella-12123693
Toyota,Car,Toyota Vitz Edition 1 2015 Car,Petrol,Automatic,"Rs. 7,375,000",2015,Kandy,"98,000 km",https://riyasewana.com/buy/toyota-vitz-edition-sale-kandy-12123690
Daihatsu,Car,Daihatsu Cast Activa 2017 Car,Petrol,Automatic,Negotiable,2017,Galle,"93,000 km",https://riyasewana.com/buy/daihatsu-cast-activa-sale-galle-12123687
Suzuki,Car,Suzuki Celerio Vxi AMT 2015 Car,Petrol,Automatic,"Rs. 5,300,000",2015,Galle,"98,250 km",https://riyasewana.com/buy/suzuki-celerio-vxi-sale-galle-12123686
Honda,Car,Honda Civic FD1 2006 Car,Petrol,Automatic,"Rs. 7,150,000",2006,Boralesgamuwa,"113,000 km",https://riyasewana.com/buy/honda-civic-fd1-sale-boralesgamuwa-12123681
Toyota,Car,Toyota Vitz 2018 Car,Petrol,Automatic,Negotiable,2018,Kottawa,,https://riyasewana.com/buy/toyota-vitz-sale-kottawa-12123678
Toyota,Car,Toyota Vios 2008 Car,Petrol,Automatic,"Rs. 6,190,000",2008,Gampaha,"168,000 km",https://riyasewana.com/buy/toyota-vios-sale-gampaha-12123671
Hyundai,Car,Hyundai Accent 2005 Car,Petrol,Automatic,Negotiable,2005,Kadawatha,"225,000 km",https://riyasewana.com/buy/hyundai-accent-sale-kadawatha-12123667
